iter	Passed	Remaining
0	530	52525
1	956	46887
2	1496	48391
3	1953	46874
4	2407	45750
5	2873	45010
6	3313	44019
7	3736	42972
8	4161	42081
9	4571	41141
10	5003	40485
11	5471	40125
12	5905	39522
13	6315	38797
14	6728	38126
15	7157	37574
16	7584	37027
17	7998	36435
18	8372	35695
19	8766	35067
20	9154	34439
21	9534	33803
22	9923	33221
23	10316	32667
24	10721	32164
25	11139	31703
26	11537	31193
27	11942	30709
28	12337	30206
29	12817	29907
30	13218	29420
31	13621	28945
32	14007	28438
33	14407	27966
34	14822	27527
35	15220	27059
36	15607	26574
37	15985	26081
38	16371	25607
39	16750	25125
40	17139	24664
41	17530	24208
42	17939	23780
43	18315	23311
44	18695	22850
45	19067	22383
46	19444	21926
47	19826	21479
48	20198	21023
49	20585	20585
50	20993	20170
51	21400	19754
52	21787	19321
53	22165	18881
54	22549	18449
55	22933	18018
56	23342	17609
57	23739	17190
58	24126	16766
59	24510	16340
60	24908	15925
61	25289	15499
62	25671	15076
63	26045	14650
64	26425	14229
65	26818	13815
66	27202	13398
67	27587	12982
68	27977	12569
69	28366	12156
70	28770	11751
71	29157	11338
72	29535	10924
73	29946	10521
74	30345	10115
75	30725	9702
76	31130	9298
77	31530	8893
78	31943	8491
79	32346	8086
80	32785	7690
81	33176	7282
82	33550	6871
83	33941	6465
84	34313	6055
85	34706	5649
86	35120	5247
87	35502	4841
88	35889	4435
89	36268	4029
90	36636	3623
91	37020	3219
92	37404	2815
93	37775	2411
94	38157	2008
95	38537	1605
96	39029	1207
97	39618	808
98	39997	404
99	40374	0
